Quantity Kind,QName,Dimension Symbol,Unit,QName,Unit Symbol,Same dimension symbol
Power Per Area Angle,quantity:PowerPerAreaAngle,U-2M1T-3,Watt Per Square Meter steradian,unit:WattPerSquareMeterSteradian,W/(m^2-sr),
Power Per Unit Area,quantity:PowerPerUnitArea,M1T-3,Watt Per Square Meter,unit:WattPerSquareMeter,W/m^2,7X
Pressure,quantity:Pressure,L-1M1T-2,Pascal,unit:Pascal,Pa,
Resistance,quantity:Resistance,L2M1T-3I-2,Ohm,unit:Ohm,Ohm,
Solid Angle,quantity:SolidAngle,U2,Steradian,unit:Steradian,sr,
Specific Energy,quantity:SpecificEnergy,L2T-2,Joule Per Kilogram,unit:JoulePerKilogram,J/kg,5X
Specific Heat Capacity,quantity:SpecificHeatCapacity,L2T-2O-1,Joule Per Kilogram Kelvin,unit:JoulePerKilogramKelvin,J/(kg-K),
Specific Heat Pressure,quantity:SpecificHeatPressure,L3M-1O-1,Joule Per Kilogram Kelvin Per pascal,unit:JoulePerKilogramKelvinPerPascal,J/(km-K-Pa),
Specific Heat Volume,quantity:SpecificHeatVolume,L-1T-2O-1,Joule Per Kilogram Kelvin Per Cubic Meter,unit:JoulePerKilogramKelvinPerCubicMeter,J/(kg-K-m^3),
TemPerature Amount Of Substance,quantity:TemPeratureAmountOfSubstance,O1N1,Mole Kelvin,unit:MoleKelvin,mol-K,
Thermal Conductivity,quantity:ThermalConductivity,L1M1T-3O-1,Watt Per Meter Kelvin,unit:WattPerMeterKelvin,W/(m*K),
Thermal Diffusivity,quantity:ThermalDiffusivity,L2T-1,Square Meter Per Second,unit:SquareMeterPerSecond,m^2/sec,XXXX
Thermal Insulance,quantity:ThermalInsulance,M-1T3O1,Square Meter Kelvin Per Watt,unit:SquareMeterKelvinPerWatt,(K^2)m/W,
Thermal Resistance,quantity:ThermalResistance,L-2M-1T3O1,Kelvin Per Watt,unit:KelvinPerWatt,K/W,
Thermal Resistivity,quantity:ThermalResistivity,L-1M-1T3O1,Meter Kelvin Per Watt,unit:MeterKelvinPerWatt,K-m/W,
Thrust To Mass Ratio,quantity:ThrustToMassRatio,L1T-2,Newton Per Kilogram,unit:NewtonPerKilogram,N/kg,X
Time Squared,quantity:TimeSquared,T2,Second Time Squared,unit:SecondTimeSquared,s^2,
Torque,quantity:BendingMomentOrTorque,L2M1T-2,Newton Meter,unit:NewtonMeter,N-m,XX
Volume,quantity:Volume,L3,Cubic Meter,unit:CubicMeter,m^3,
Volume Thermal Expansion,quantity:VolumeThermalExpansion,L3O-1,Cubic Meter Per Kelvin,unit:CubicMeterPerKelvin,m^3/K,
Volume Per Unit Time,quantity:VolumePerUnitTime,L3T-1,Cubic Meter Per Second,unit:CubicMeterPerSecond,m^3/s,
Volumetric Heat capacity,quantity:VolumetricHeatCapacity,L-1M1T-2O-1,Joule Per Cubic Meter Kelvin,unit:JoulePerCubicMeterKelvin,J/(m^3 K),
