Quantity Kind,QName,Dimension Symbol,Unit,QName,Unit Symbol,Same dimension symbol
Linear Thermal Expansion,quantity:LinearThermalExpansion,L1O-1,Meter per kelvin,unit:MeterPerKelvin,m/K,
Linear Velocity,quantity:LinearVelocity,L1T-1,Meter per second,unit:MeterPerSecond,m/s,
Luminance,quantity:Luminance,L-2J1,Candela per square meter,unit:CandelaPerSquareMeter,cd/m^2,
Luminous Flux,quantity:LuminousFlux,U1J1,Lumen,unit:Lumen,lm,
Magnetic Dipole Moment,quantity:MagneticDipoleMoment,L2I1,Joule per Tesla,unit:JoulePerTesla,J/T,
Magnetic Field Strength,quantity:MagneticFieldStrength,L-1I1,Ampere Turn per Meter,unit:AmpereTurnPerMeter,At/m,
Magnetic Flux,quantity:MagneticFlux,L2M1T-2I-1,Weber,unit:Weber,Wb,
Magnetic Flux Density,quantity:MagneticFluxDensity,M1T-2I-1,Tesla,unit:Tesla,T,
Magnetomotive Force,quantity:MagnetomotiveForce,U1I1,Ampere Turn,unit:AmpereTurn,At,
Mass Temperature,quantity:MassTemperature,M1O1,Kilogram kelvin,unit:KilogramKelvin,kg-K,
Mass per Time,quantity:MassPerUnitTime,M1T-1,Kilogram per second,unit:KilogramPerSecond,kg/s,
Mass per Unit Area,quantity:MassPerUnitArea,L-2M1,Kilogram per square meter,unit:KilogramPerSquareMeter,kg/m^2,
Mass per Unit Length,quantity:MassPerUnitLength,L-1M1,Kilogram per meter,unit:KilogramPerMeter,kg/m,
Molar Energy,quantity:MolarEnergy,L2M1T-2N-1,Joule per mole,unit:JoulePerMole,J/mol,
Molar Heat Capacity,quantity:MolarHeatCapacity,L2M1T-2O-1N-1,Joule per mole kelvin,unit:JoulePerMoleKelvin,J/(mol-K),
Permeability,quantity:Permeability,L1M1T-2I-2,Henry per meter,unit:HenryPerMeter,H/m,
Permittivity,quantity:Permittivity,L-3M-1T4I2,Farad per meter,unit:FaradPerMeter,F/m,
